"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"370","RT @SamathaSatta: It's time 2 reduce vat by state government to reduce burden on common man like Rajasthan did? @RajGovOfficial @bjp @ASATe…",FALSE,0,NA,2018-09-10 01:09:51,FALSE,NA,"1038957694135230465",NA,"<a href=""http://rechargeduniya.com/"" rel=""nofollow"">current news </a>","SweetCookiesme",3,TRUE,FALSE,NA,NA
"371","RT @sweetvils: SuJu representando muy bien a 🇰🇷 fue el acto más esperado y aplaudido de los #AsianGames2018 (videos y artículos corroboran…",FALSE,0,NA,2018-09-10 01:09:40,FALSE,NA,"1038957648085966848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Anniet_Shi",14,TRUE,FALSE,NA,NA
"372","RT @zainul_munas: Subhanallah..!! Puncak peringatan Hari Olahraga Nasional 2018 di Kota Ternate, sunggu luar biasa, tidak kalah menggetarka…",FALSE,0,NA,2018-09-10 01:09:32,FALSE,NA,"1038957614355234816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nuel_monggesang",36,TRUE,FALSE,NA,NA
"373","It's time 2 reduce vat by state government to reduce burden on common man like Rajasthan did? @RajGovOfficial @bjp… https://t.co/3AEZEM5iaw",FALSE,1,NA,2018-09-10 01:09:07,TRUE,NA,"1038957509460013056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SamathaSatta",3,FALSE,FALSE,NA,NA
"374","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:09:05,FALSE,NA,"1038957498240139265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rdwiaaa",7361,TRUE,FALSE,NA,NA
"375","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:09:02,FALSE,NA,"1038957485657272320",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","nurlathifm",7361,TRUE,FALSE,NA,NA
"376","RT @asiangames2018: It's time to turn off the screens; close the door; dim the lights, and move towards a new day. It's been an eventful tw…",FALSE,0,NA,2018-09-10 01:09:01,FALSE,NA,"1038957483065106432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nurazizaherwin2",7361,TRUE,FALSE,NA,NA
"377","RT @kepo_olahraga: Sport do not build character, They reveal it
(Heywood Broun)
.
#AsianParaGames2018 #AsianGames2018 #quoteolahraga #infoo…",FALSE,0,NA,2018-09-10 01:08:51,FALSE,NA,"1038957441860263936",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZaynNiayn",1,TRUE,FALSE,NA,NA
"378","RT @carmenghia6: @bertrand_russe @_Randy_Matthews @al_nghothot @nana____rosaa @RegarSormin01 @Nanaa_rosaa @_SEKNAS_RI @DemokrasiKoma @m_y_e…",FALSE,0,NA,2018-09-10 01:08:38,FALSE,NA,"1038957386411597824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","verrel_Betawi",10,TRUE,FALSE,NA,NA
"379","@harno_007 @iwanrudianto @Elang_Sutajaya1 @detikcom @aniesbaswedan @asiangames2018 Sailormoon dong...😁😁",FALSE,1,"harno_007",2018-09-10 01:08:30,FALSE,"1038956418055819264","1038957352341331968","1186453370","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BUDI_PERMADI26",0,FALSE,FALSE,NA,NA
"380","RT @bertrand_russe: @carmenghia6 @_Randy_Matthews @al_nghothot @nana____rosaa @RegarSormin01 @Nanaa_rosaa @_SEKNAS_RI @DemokrasiKoma @m_y_e…",FALSE,0,NA,2018-09-10 01:07:58,FALSE,NA,"1038957220451385344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","verrel_Betawi",10,TRUE,FALSE,NA,NA
"381","RT @BadmintonTalk: Sudah jgn bersedih hati.

#AsianGames2018 berakhir, September tiba.

Ini artinya, TORNADO BADMINTON segera dimulai!

Dim…",FALSE,0,NA,2018-09-10 01:07:28,FALSE,NA,"1038957093535997952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hwappypeople",2102,TRUE,FALSE,NA,NA
"382","RT @bertrand_russe: @carmenghia6 @_Randy_Matthews @al_nghothot @nana____rosaa @RegarSormin01 @Nanaa_rosaa @_SEKNAS_RI @DemokrasiKoma @m_y_e…",FALSE,0,NA,2018-09-10 01:07:03,FALSE,NA,"1038956986497290242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_SEKNAS_RI",10,TRUE,FALSE,NA,NA
"383","RT @Fahrihamzah: Terakhir KPK menangkap hampir semua anggota legislatif kota malang. Lalu, mempersoalkan tiket #AsianGames2018 tapi diam se…",FALSE,0,NA,2018-09-10 01:07:02,FALSE,NA,"1038956983666130944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UFit24",78,TRUE,FALSE,NA,NA
